STATUS,PLANT,START INTERVAL,END INTERVAL,DESCRIPTION
UNPLANNED OUTAGE,01PNTBNG_U01,12/23/2025 11:33:00,,
UNPLANNED OUTAGE,03AVION_U01,12/26/2025 09:20:00,,Tripped
